ID,Language_ID,Headword,Part_Of_Speech
1-mapoqui,Amahuaca,mápoquí,(adv.)
2-naman,Amahuaca,-náman,(adv.)
3-puunpuunquin,Amahuaca,púun-púunquin,(vt.)
4-payati,Amahuaca,páyatí,(nm.)
5-mano,Amahuaca,máno,(nf.)
6-shara,Amahuaca,shára,(nf.)
7-vacon,Amahuaca,vácon,(nf.)
8-mamon,Amahuaca,mámon,(rm.)
9-puxvaa,Amahuaca,púxvaa,(nf.)
10-vayoquin,Amahuaca,vayóquín,(vt.)
11-hicooquin,Amahuaca,hicooquín,(vt.)
12-vupunquin,Amahuaca,vúpunquín,(vt.)
13-vuxnaquin,Amahuaca,vúxnaquín,(vt.)
14-chipuxuhuhi,Amahuaca,chípuxúhuhi,(vi.)
15-puxuuhi,Amahuaca,púxuuhí,(vi.)
16-tovaahi,Amahuaca,tóvaahí,(vi.)
17-haxuni,Amahuaca,-haxúni,(nf.)
18-paxuni,Amahuaca,-paxúni,(nm.)
19-xota,Amahuaca,xóta,(nm.)
20-jatzanamuhi,Amahuaca,játzanámuhi,(vi.)
21-nuri,Amahuaca,núri,(adv.)
22-harohtiquin,Amahuaca,haróhtiquin,(vt.)
23-quiyooquin,Amahuaca,quíyoo quín,(vt.)
24-zununquin,Amahuaca,zúnunquín,(vt.)
25-himaquin,Amahuaca,hímaquín,(vt.)
26-vinpanquin,Amahuaca,vinpánquin,(vt.)
27-xuni,Amahuaca,xuní,(nm.)
28-xotoquin,Amahuaca,xótoquín,(vt.)
29-cacha,Amahuaca,cachá,(adj.)
30-jaquinquin,Amahuaca,jaquínquin,(vt.)
31-cuzhi,Amahuaca,cúzhi,(vi.)
32-racaahi,Amahuaca,rácaahí,(vi.)
33-vuyahi,Amahuaca,vúyahí,(vi.)
34-chanicahanquin,Amahuaca,chánicáhanquín,(vt.)
35-chaniiquin,Amahuaca, chániiquín,(vt.)
36-maxu,Amahuaca,máxu,(nm.)
37-ruzocahinhi,Amahuaca,rúzocáhinhí,(vi.)
38-hoxahi,Amahuaca,hóxahí,(vi.)
39-mizinhi,Amahuaca,mízinhí,(vi.)
40-nazquiquin,Amahuaca,názquiquín,(vt.)
41-ruxo,Amahuaca,rúxo,(nm.)
42-shinoxuta,Amahuaca,shínoxú ta,(nm.)
43-cunoquin,Amahuaca,cúnoquín,(vt.)
44-xushquiquin,Amahuaca,xúshqui quín,(vt.)
45-cunoti,Amahuaca,cúnotí,(nf.)
46-cunoafrechormxupo,Amahuaca,cunóafrecho (rm) xúpo,(adj.)
47-jumannaqui,Amahuaca,júmannáqui,(adv.)
48-cacohi,Amahuaca,cácohí,(vi.)
49-tupico,Amahuaca,túpico,(nf.)
50-hachiquin,Amahuaca,háchiquín,(vt.)
51-tovunquin,Amahuaca,tóvunquín,(vt.)
52-vuchonhi,Amahuaca,vúchonhí,(vt.)
53-tziztocohohi,Amahuaca,tzíztocóhohi,(vi.)
54-zutuuhi,Amahuaca,zútuuhí,(vi.)
55-junu,Amahuaca,junú,(nf.)
56-vaconhma,Amahuaca,vacónhma,(nf.)
57-hovinuvan,Amahuaca,hóvi núvan,(nf.)
58-cunchaa,Amahuaca,cúnchaa,(nm.)
59-chiyux,Amahuaca,chíyux,(nm.)
60-tutupaha,Amahuaca,tútupáha,(nf.)
61-dijomox,Amahuaca,(DI) jómox,(nf.)
62-dsxomox,Amahuaca,(DS) xómox,(nf.)
63-putzputzni,Amahuaca,putz-pútzni,(adj.)
64-chaxquin,Amahuaca,-cháxquin,(vt.)
65-pochaxquin,Amahuaca,pocháx quin,
66-machaxquin,Amahuaca,macháx quin,
67-tanchaxquin,Amahuaca,tancháx quin,
68-tuchaxquin,Amahuaca,tucháx quin,
69-janchaxquin,Amahuaca,jancháx quin,
70-muchaxquin,Amahuaca,mucháx quin,
71-vichaxquin,Amahuaca,vicháx quin,
72-shishi,Amahuaca,shíshi,(n.)
73-junumuranhi,Amahuaca,júnumúranhi,(vi.)
74-canon,Amahuaca,canón,(adv.)
75-rama,Amahuaca,ráma,(adv.)
76-nanuquin,Amahuaca,nánuquín,(vt.)
77-zinaahqui,Amahuaca,zinááhqui,(vi.)
78-matziajirmyochi,Amahuaca,matzíají (rm) yochí,(nm.)
79-cataxquin,Amahuaca,cátaxquín,(vt.)
80-puhialacranmnivo,Amahuaca,púhialacrán (m) nívo,(nf.)
81-mahotati,Amahuaca,máhotatí,(nm.)
82-chivanvoquin,Amahuaca,chívanvóquin,(vt.)
83-jasharaahi,Amahuaca,jásharááhi,(vi.)
84-cashpi,Amahuaca,cashpí,(nf.)
85-vuma,Amahuaca,vumá,(nf.)
86-hitzon,Amahuaca,hítzon,(nm.)
87-xapo,Amahuaca,xapó,(nm.)
88-tuxu,Amahuaca,túxu,(adj.)
89-tayanquin,Amahuaca,tayánquin,(vt.)
90-chanpish,Amahuaca,chanpísh,(nf.)
91-haco,Amahuaca,háco,(nm.)
92-vopiti,Amahuaca,vópiti,(nf.)
93-chaii,Amahuaca,chaíí,(adj.)
94-jotaquin,Amahuaca,jótaquín,(vt.)
95-juruuquin,Amahuaca,jurúú quin,(vt.)
96-vacuquin,Amahuaca,vácuquín,(vt.)
97-zananquin,Amahuaca,zánanquín,(vt.)
98-hono,Amahuaca,honó,(adv.)
99-hova,Amahuaca,hóva,(adv.)
100-jano,Amahuaca,jáno,(adv.)
101-jari,Amahuaca,-jári,(adv.)
102-janunquin,Amahuaca,jánunquín,(vt.)
103-ranunquin,Amahuaca,ránun quín,(vt.)
104-rayunquin,Amahuaca,ráyunquín,(vt.)
105-vaazaquin,Amahuaca,váázaquín,(vt.)
106-shinanya,Amahuaca,shínanyá,(adj.)
107-jovi,Amahuaca,jóvi,(nm.)
108-yovan,Amahuaca,yóvan,(nm.)
109-nutuhi,Amahuaca,nútuhí,(vi.)
110-hatima,Amahuaca,hátimá,(adj.)
111-moca,Amahuaca,mocá,(adj.)
112-tzimo,Amahuaca,tzimó,(adj.)
113-panshin,Amahuaca,pánshin,(adj.)
114-cataxquin,Amahuaca,cataxquin,(vt.)
115-chicunquin,Amahuaca,chicun quin,(vt.)
116-nuxaquin,Amahuaca,nuxaquin,(vt.)
117-runuxquin,Amahuaca,runuxquin,(vt.)
118-tuquin,Amahuaca,tuquin,(vt.)
119-tuxcuquin,Amahuaca,tuxcuquin,(vt.)
120-xuquiquin,Amahuaca,xuquiquín,(vt.)
121-camozquin,Amahuaca,camozquin,(vt.)
122-motzaquin,Amahuaca,mótza quin,(vt.)
123-cashovin,Amahuaca,cáshovín,(nf.)
124-hocunvuconravuu,Amahuaca,hócun-vúcon rávuu,(adj.)
125-tupico,Amahuaca,túpico,(nf.)
126-jaquinhti,Amahuaca,jaquínhti,(n.)
127-mucaati,Amahuaca,múcaatí,(n.)
128-maanaquinmanchinquin,Amahuaca,máánaquín mánchinquín,(vt.)
129-mazonquin,Amahuaca,mázonquín,(vt.)
130-quinchiquin,Amahuaca,quín chiquín,(vt.)
131-tzizpoquin,Amahuaca,tzízpoquín,(vt.)
132-choro,Amahuaca,chóro,(nf.)
133-muxvon,Amahuaca,múxvon,(nf.)
134-junurononha,Amahuaca,júnu-ronónha,(nf.)
135-xuni,Amahuaca,xuní,(adj.)
136-cahi,Amahuaca,cáhi,(vi.)
137-chiruxcuhi,Amahuaca,chíruxcúhi,(vi.)
138-hiyaavahinhqui,Amahuaca,híyaaváhinhqui,(vi.)
139-vohi,Amahuaca,vóhi,(vi.)
140-coninha,Amahuaca,cóninhá,(nf.)
141-conzu,Amahuaca,cónzu,(nf.)
142-nuronanillonmmuhozoti,Amahuaca,núronanillo (nm) múhozóti,(nf.)
143-chitu,Amahuaca,chítu,(nm.)
144-yohinna,Amahuaca,yóhinná,(nm.)
145-ruxni,Amahuaca,ruxní,(nf.)
146-ramaana,Amahuaca,rámaaná,(adv.)
147-vahocun,Amahuaca,váhocún,(adv.)
148-naichahohi,Amahuaca,nai-cháhohi,(vi.)
149-vucaxnahaquin,Amahuaca,vúcaxnáhaquín,(vt.)
150-mishquiti,Amahuaca,míshquití,(nm.)
151-nutanquin,Amahuaca,nútanquín,(vt.)
152-varixutuu,Amahuaca,vári-xútuu,(nm.)
153-mari,Amahuaca,mári,(nm.)
154-nocaquin,Amahuaca,nocáquin,(vt.)
155-vutzizquin,Amahuaca,vutzíz quin,(vt.)
156-vuparaquin,Amahuaca,vuparáquin,(vt.)
157-paoxpaoxhquiapoyarvi,Amahuaca,paóx-paóxhquiapoyar (vi,(vi.)
158-vtcopaxquin,Amahuaca,vt) copáxquin,(vi.)
159-cupinquin,Amahuaca,cúpinquín,(vi.)
160-vovacahahi,Amahuaca,vóvacáhahi,(vi.)
161-xupoquin,Amahuaca,xúpoquín,(vt.)
162-dsxupoquin,Amahuaca,(DS) xúpoquín,(vt.)
163-dizipoquin,Amahuaca,(DI) zípoquín,(vt.)
164-mutonquin,Amahuaca,mútonquín,(vt.)
165-nuno,Amahuaca,nunó,(adv.)
166-nuritzinca,Amahuaca,núritzínca,(adv.)
167-vacon,Amahuaca,vácon,(nf.)
168-muncha,Amahuaca,múncha,(nf.)
169-muiquin,Amahuaca,múiquín,(vt.)
170-muicananhi,Amahuaca,múicánanhí,(vi.)
171-jii,Amahuaca,jíí,(nm.)
172-jiimaxo,Amahuaca,jii-máxo,(nm.)
173-manpa,Amahuaca,manpá,(nm.)
174-muu,Amahuaca,múú,(nf.)
175-chiyun,Amahuaca,chíyun,(nm.)
176-piyacanti,Amahuaca,piyacánti,(nm.)
177-yohiri,Amahuaca,yóhirí,(nm.)
178-naanvahi,Amahuaca,naanváhi,(nm.)
179-juruuquin,Amahuaca,jurúúquin,(vt.)
180-caiz,Amahuaca,cáiz,(nf.)
181-capan,Amahuaca,capán,(nf.)
182-mishpoo,Amahuaca,míshpoo,(nf.)
183-parononti,Amahuaca,páronónti,(nm.)
184-pano,Amahuaca,páno,(nm.)
