ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Amahuaca-1_all-1,,Amahuaca,1_all,quíyoo,quíyoo,q u í j oː,,Hyde1980,,,^ q u í y oo $,default,todo,todo-1,1997-quiyoo
Amahuaca-2_ash-1,,Amahuaca,2_ash,córo,córo,k ó r o,,Hyde1980,,,^ c ó r o $,default,ceniza,ceniza-1,449-coro
Amahuaca-2_ash-2,,Amahuaca,2_ash,chíhimapó,chíhimapó,tʃ í h i m a p ó,,Hyde1980,,,^ ch í h i m a p ó $,default,ceniza,ceniza-2,450-chihimapo
Amahuaca-3_bark-1,,Amahuaca,3_bark,ráxvii,ráxvii,r á x v iː,,Hyde1980,,,^ r á x v ii $,default,corteza,corteza-1,552-raxvii
Amahuaca-4_belly-1,,Amahuaca,4_belly,póco,póco,p ó k o,,Hyde1980,,,^ p ó c o $,default,barriga,barriga-1,272-poco
Amahuaca-4_belly-2,,Amahuaca,4_belly,chinxantó,chinxantó,tʃ i n x a n t ó,,Hyde1980,,,^ ch i n x a n t ó $,default,vientre,vientre-1,2104-chinxanto
Amahuaca-4_belly-3,,Amahuaca,4_belly,xánquin,xánquin,x á n q u i n,,Hyde1980,,,^ x á n q u i n $,default,vientre,vientre-2,2105-xanquin
Amahuaca-5_big-1,,Amahuaca,5_big,tóha,tóha,t ó h a,,Hyde1980,,,^ t óh a $,default,grande,grande-1,968-toha
Amahuaca-6_bird-1,,Amahuaca,6_bird,póhiyá,póhiyá,p ó h i j á,,Hyde1980,,,^ p óh i y á $,default,ave,ave-1,231-pohiya
Amahuaca-6_bird-2,,Amahuaca,6_bird,hítzaa,hítzaa,h í t z aː,,Hyde1980,,,^ h í t z aa $,default,pájaro,pajaro-1,1435-hitzaa
Amahuaca-7_bite-1,,Amahuaca,7_bite,chancánquin,chancánquin,tʃ a n k á n q u i n,,Hyde1980,,,^ ch a n c á n q u i n $,default,morder,morder-1,1321-chancanquin
Amahuaca-7_bite-2,,Amahuaca,7_bite,nátux quín,nátux quín,n á t u x + q u í n,,Hyde1980,,,^ n á t u x + q u í n $,default,morder,morder-2,1322-natuxquin
Amahuaca-7_bite-3,,Amahuaca,7_bite,píquin,píquin,p í q u i n,,Hyde1980,,,^ p í q u i n $,default,morder,morder-3,1323-piquin
Amahuaca-7_bite-4,,Amahuaca,7_bite,túxaquín,túxaquín,t ú x a q u í n,,Hyde1980,,,^ t ú x a q u í n $,default,morder,morder-4,1324-tuxaquin
Amahuaca-8_black-1,,Amahuaca,8_black,cháho,cháho,tʃ á h o,,Hyde1980,,,^ ch á h o $,default,negro; sucio,negro-1,1363-chaho
Amahuaca-8_black-2,,Amahuaca,8_black,cúchux,cúchux,k ú tʃ u x,,Hyde1980,,,^ c ú ch u x $,default,negro,negro-2,1364-cuchux
Amahuaca-9_blood-1,,Amahuaca,9_blood,jimí,jimí,j i m í,,Hyde1980,,,^ j i m í $,default,sangre,sangre-1,1807-jimi
Amahuaca-10_bone-1,,Amahuaca,10_bone,xaó,xaó,x a ó,,Hyde1980,,,^ x a ó $,default,hueso,hueso-1,1068-xao
Amahuaca-11_breast-1,,Amahuaca,11_breast,chochó,chochó,tʃ o tʃ ó,,Hyde1980,,,^ ch o ch ó $,default,pecho,pecho-1,1490-chocho
Amahuaca-12_burn-1,,Amahuaca,12_burn,cóhaquín,cóhaquín,k ó h a q u í n,,Hyde1980,,,^ c óh a q u í n $,default,quemar,quemar-1,1666-cohaquin
Amahuaca-14_cloud-1,,Amahuaca,14_cloud,nai-cóhin,nai-cóhin,n a i + k ó h i n,,Hyde1980,,,^ n a i - c óh i n $,default,nube,nube-1,1378-naicohin
Amahuaca-15_cold-1,,Amahuaca,15_cold,matzí  hacer frío durante algunos,matzí hacer frío durante algunos,m a t z í + h a k e r + f r í o + d u r a n t e + a l g u n o s,,Hyde1980,,,^ m a t z í + h a c e r + f r í o + d u r a n t e + a l g u n o s $,default,frío,frio-1,912-matzihacerfriodurantealgunos
Amahuaca-16_come-1,,Amahuaca,16_come,jóhi,jóhi,j ó h i,,Hyde1980,,,^ j óh i $,default,venir,venir-1,2082-johi
Amahuaca-16_come-2,,Amahuaca,16_come,jóvanhí,jóvanhí,j ó v a n h í,,Hyde1980,,,^ j ó v a nh í $,default,salir; venir,venir-2,2083-jovanhi
Amahuaca-16_come-3,,Amahuaca,16_come,shínanvúhqui,shínanvúhqui,ʃ í n a n v ú h q u i,,Hyde1980,,,^ sh í n a n v ú h q u i $,default,venir,venir-3,2084-shinanvuhqui
Amahuaca-16_come-4,,Amahuaca,16_come,vúhi,vúhi,v ú h i,,Hyde1980,,,^ v ú h i $,default,venir,venir-4,2085-vuhi
Amahuaca-17_die-1,,Amahuaca,17_die,náhi,náhi,n á h i,,Hyde1980,,,^ n á h i $,default,morir,morir-1,1325-nahi
Amahuaca-17_die-2,,Amahuaca,17_die,nócahí,nócahí,n ó k a h í,,Hyde1980,,,^ n ó c a h í $,default,morir,morir-2,1326-nocahi
Amahuaca-17_die-3,,Amahuaca,17_die,rúzohí,rúzohí,r ú z o h í,,Hyde1980,,,^ r ú z o h í $,default,morir; terminar,morir-3,1327-ruzohi
Amahuaca-17_die-4,,Amahuaca,17_die,coshtóóhca,coshtóóhca,k o ʃ t óː h k a,,Hyde1980,,,^ c o sh t óó h c a $,default,morir; saliva,morir-4,1328-coshtoohca
Amahuaca-18_dog-1,,Amahuaca,18_dog,hinó,hinó,h i n ó,,Hyde1980,,,^ h i n ó $,default,perro; tigre,perro-1,1545-hino
Amahuaca-19_drink-1,,Amahuaca,19_drink,háyaquín,háyaquín,h á j a q u í n,,Hyde1980,,,^ h á y a q u í n $,default,beber; tomar,beber-1,287-hayaquin
Amahuaca-20_dry-1,,Amahuaca,20_dry,choshí,choshí,tʃ o ʃ í,,Hyde1980,,,^ ch o sh í $,default,seco,seco-1,1817-choshi
Amahuaca-20_dry-2,,Amahuaca,20_dry,póto,póto,p ó t o,,Hyde1980,,,^ p ó t o $,default,polvo; seco,seco-2,1818-poto
Amahuaca-20_dry-3,,Amahuaca,20_dry,táno,táno,t á n o,,Hyde1980,,,^ t á n o $,default,seco,seco-3,1819-tano
Amahuaca-20_dry-4,,Amahuaca,20_dry,xána,xána,x á n a,,Hyde1980,,,^ x á n a $,default,seco,seco-4,1820-xana
