ID,Description,Entry_ID
abajo-1,abajo,1-mapoqui
abajo-2,abajo,2-naman
abanicar-1,abanicar,3-puunpuunquin
abanico-1,abanico,4-payati
abeja-1,abeja,5-mano
abeja-2,abeja,6-shara
abeja-3,abeja,7-vacon
abejarron-1,abejarrón,8-mamon
abertura-1,abertura,9-puxvaa
ablandar-1,ablandar,10-vayoquin
abrazar-1,abrazar,11-hicooquin
abrir-1,abrir,12-vupunquin
abrir-2,abrir,13-vuxnaquin
abrirse-1,abrirse,14-chipuxuhuhi
abrirse-2,abrirse,15-puxuuhi
abrirse-3,abrirse,16-tovaahi
abuela-1,abuela,17-haxuni
abuelo-1,abuelo,18-paxuni
abuelo-2,abuelo,19-xota
aburrirse-1,aburrirse,20-jatzanamuhi
aca-1,acá,21-nuri
acabar-1,acabar,22-harohtiquin
acabar-2,acabar,23-quiyooquin
acabar-3,acabar,24-zununquin
acariciar-1,acariciar,25-himaquin
acechar-1,acechar,26-vinpanquin
aceite-1,aceite,27-xuni
acepillar-1,acepillar,28-xotoquin
acido-1,ácido,29-cacha
acompanar-1,acompañar,30-jaquinquin
acontecer-1,acontecer,31-cuzhi
acostarse-1,acostarse,32-racaahi
acostumbrarse-1,acostumbrarse,33-vuyahi
acusar-1,acusar,34-chanicahanquin
acusar-2,acusar,35-chaniiquin
achiote-1,achiote,36-maxu
adelantarse-1,adelantarse,37-ruzocahinhi
adormecer-1,adormecer,38-hoxahi
adormecer-2,adormecer,39-mizinhi
adornar-1,adornar,40-nazquiquin
adorno-1,adorno,41-ruxo
adorno-2,adorno,42-shinoxuta
afilar-1,afilar,43-cunoquin
afilar-2,afilar,44-xushquiquin
afilador-1,afilador,45-cunoti
afilado-1,afilado,46-cunoafrechormxupo
afuera-1,afuera,47-jumannaqui
agacharse-1,agacharse,48-cacohi
agalla-1,agalla,49-tupico
agarrar-1,agarrar,50-hachiquin
agitar-1,agitar,51-tovunquin
agitar-2,agitar,52-vuchonhi
agruparse-1,agruparse,53-tziztocohohi
agruparse-2,agruparse,54-zutuuhi
agua-1,agua,55-junu
agua-2,agua,56-vaconhma
aquapotable-1,aqua potable,57-hovinuvan
aguamanil-1,aguamanil,58-cunchaa
aguijon-1,aguijón,59-chiyux
aguila-1,águila,60-tutupaha
harpayaharpayja-1, harpaya harpayja,60-tutupaha
aguja-1,aguja,61-dijomox
aguja-2,aguja,62-dsxomox
agujereado-1,agujereado,63-putzputzni
agujerear-1,agujerear,64-chaxquin
agujerearelbrazo-1,agujerear el brazo,65-pochaxquin
agujerearlacabeza-1,agujerear la cabeza,66-machaxquin
agujerearelmejilla-1,agujerear el mejilla,67-tanchaxquin
agujerearelcuello-1,agujerear el cuello,68-tuchaxquin
agujerearlalengua-1,agujerear la lengua,69-janchaxquin
agujerearlamano-1,agujerear la mano,70-muchaxquin
agujerearlapierna-1,agujerear la pierna,71-vichaxquin
aguti-1,agutí,72-shishi
