ID,Language_ID,Headword,Part_Of_Speech,1st_Person_Singular,2nd_Person_Singular,3rd_Person_Dual,3rd_Person_Singular,Dialectal_Variant,Encyclopedic_Information,Entry_IDs,Etymological_Source,Etymology,Lexical_Citation_Form,Paradigm,Reduplicated_Form,Usage
a,Daakaka,a,dem,,,,,,,,,,,,,
a_1,Daakaka,a,gram,,,,,,,,,,,,,
a_2,Daakaka,a,intj,,,,,,,,,,,,,
aa,Daakaka,aa,poss.pron,,,,,,,,,,,,,
aa_1,Daakaka,aa,n,,,,,,,,,,,,,
-aa,Daakaka,-aa,poss.suf,,,,,,,,,,,,,
aa_ne_tes,Daakaka,aa ne tes,NA,,,,,,,,,,,,,
aatawa,Daakaka,aatawa,n,,,,,,,,,,,,,
aba,Daakaka,aba,n,,,,,,,,,,,,,
abwilyep_1,Daakaka,abwilyep,n,,,,,,,,,,,,,
abwilyep_2,Daakaka,abwilyep,adj2,,,,,,,,,,,,,
ada,Daakaka,ada,pron,,,,,,,,,,,,,
adaa,Daakaka,adaa,poss.pron,,,,,,,,,,,,,
adoprop,Daakaka,adoprop,n,,,,,,,,,,,,,
adu,Daakaka,adu,n,,,,,,,,,,,,,
ae,Daakaka,ae,n,,,,,,,,,,,,,
aelan,Daakaka,aelan,n,,,,,,,,Bislama,,,,,
akrep,Daakaka,akrep,n,,,,,,,,,,,,,
akuor,Daakaka,akuor,v.itr,,,,,,,,,,,,,
ale,Daakaka,ale,intj,,,,,,,,,,,,,
am,Daakaka,am,poss.pron,,,,,,,,,,,,,
am_1,Daakaka,am,n.rel.b,amuk,amum,,amun,,,,,,,u,,
-am,Daakaka,-am,poss.suf,,,,,,,,,,,,,
amaa,Daakaka,amaa,poss.pron,,,,,,,,,,,,,
amsi,Daakaka,amsi,poss.pron,,,,,,,,,,,,,
amu,Daakaka,amu,n.rel,,,,,,,,,,,,,
an,Daakaka,an,poss.pron,,,,,,,,,,,,,
an_1,Daakaka,an,gram,,,,,,,,,,,,,
an_2,Daakaka,an,gram,,,,,,,,,,,,,
an_3,Daakaka,an,gram,,,,,,,,,,,,,
-an,Daakaka,-an,poss.suf,,,,,,,,,,,,,
ane,Daakaka,ane,v.tr,,,,,,,,,,,,,
ane_1,Daakaka,ane,prep,,,,,,,,,,,,,
-ane,Daakaka,-ane,gram,,,,,,,-ne,,,,,,
animol,Daakaka,animol,n,,,,,,,,Bislama,,,,,
ansa,Daakaka,ansa,v,,,,,,,,Bislama,,,,,
ansi,Daakaka,ansi,pron,,,,,,,,,,,,,
anyemsi,Daakaka,anyemsi,poss.pron,,,,,,,,,,,,,
ao,Daakaka,ao,intj,,,,,,,,,,,,,
aoa,Daakaka,aoa,n,,,,,,,,Bislama,,,,,
aot,Daakaka,aot,v,,,,,,,,Bislama,,,,,
ap,Daakaka,ap,n,,,,,,,,,,,,,
apas,Daakaka,apas,n,,,,,,,,,,,,,
