ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Corpus_Reference,Sense_IDs,alt_translation1
XV000001,Daakaka,vyanten ente mwi abwilyep,vyanten	en=te	mw=i	abwilyep,person	$dem=$dem.med	mw=i	abwilyep,this man is a sorcerer,,,,,SN000011,man ia i wan poson man
XV000002,Daakaka,mesyu abwilyep swa sa ngetak,mesyu	abwilyep	swa	sa	nge=tak,fish	poisonous	one	$top	$3sg=$dem.prox,this is a poisonous fish,,,,,SN000012 ; SN001614,wan poson fis hem ia
XV000003,Daakaka,nam akuorkote seli,na=m	akuor-kote	seli,$1sg=$real	cross-in.two	road,I crossed the road,,,,,SN000020 ; SN001408,mi krosem road
XV000004,Daakaka,aran na yem du pwer myaek aran,ar=an	na	ye=m	du	pwer	myaek	ar=an,place=$def	$comp	$3d=$real	stay	sleep	be.night	place=$def,(the place) where the two are sleeping,,,,,SN000051 ; SN001296,ples we tufala i stap silip
XV000005,Daakaka,ayup ane batom,ayup	ane	bat-om,brain	$trans	head.of-$2sg.poss,your brain,,,,,SN000065 ; SN001155,bren blong yu
XV000006,Daakaka,vyanten balip swa sa ngetak,vyanten	balip	swa	sa	nge=tak,person	strong	one	$top	$3sg=$dem.prox,this is a brave man,,,,,SN000073,wan strong man hem ia
XV000007,Daakaka,bason to vu ten,bason	to	vu	ten,strong.body	$neg.real	good	very,he falls short of having ideal proportions,,,,,SN000092,bodi blong hem i no gud tumas
XV000008,Daakaka,bee bwe bee,bee	bwe	bee,lightning	$cont	lightning,lightning is flashing,,,,,SN000101 ; SN000102,laetning i laetning
XV000009,Daakaka,bees ane nye,bees	ane	nye,chin	$trans	$1sg,my chin,,,,,SN000103,jin blong mi
XV000010,Daakaka,bekesye,beke-sye,branch.of-$3sg.poss,its twig,,,,,SN000104 ; SN001548,han blong hem
XV000011,Daakaka,beke lewotop,beke	lewotop,branch.of-$3sg.poss	breadfruit.tree,twig of the breadfruit tree,,,,,SN000104,han blong bredfrut tri
XV000012,Daakaka,vyanten ente ma belik tiye san vyaven,vyanten	en=te	ma	belik	tiye	s-an	vyaven,person	$dem=$dem.prox	$real	commit.crime.of	kill	$cl3-3s.poss	woman,this man commited the crime of killing his wife,,,,,SN000109,man ia i gat strong tingting blong hem blong kilim woman blong hem
XV000013,Daakaka,yaapu kop pwer beti kinyem yen liyaa na doma,yaapu	ko=p	pwer	beti	kinyem	yen	liyaa	na	doma,big.man	$2sg=$pot	stay	guide	1p.ex	in	day	$comp	today,"God, please guide us through this day",,,,,SN000114 ; SN001180,"papa god, gaed mifala long de blong mifala tede"
XV000014,Daakaka,bevyap ivyo,bevyap	ivyo,plant	cabbage,plant cabbage,,,,,SN000116,planem kabis
XV000015,Daakaka,bevyap kyu em,bevyap	kyu	em,cover	surround	house,providing the frame of a house with walls,,,,,SN000116,kaverem ap ol wol blong haos
XV000016,Daakaka,yam biite sam myanok,ya=m	biite	s-am	myanok,$3pl=$real	stick	$cl3-2s.poss	wound,they have put a plaster on your wound,,,,,SN000121 ; SN001340,oli plasterem soa blong you
XV000017,Daakaka,bili tungan,bili	tung=an,time.of	fight=$nom,(time of) war,,,,,SN000118 ; SN000122 ; SN001822,taem blong faet
XV000018,Daakaka,bilisye mwe dyanga ka nan me,bili-sye	mwe	dyanga	ka	na=n	me,time.of-$3sg.poss	$real	lack	$mod.rel	$1sg=$neg.pot	come,I did not have the time to come,,,,,SN000122 ; SN001548,i no gat taem blong mi kam
XV000019,Daakaka,bip ma erér,bip	ma	erér,body	$real	hot,the body is hot (feverish),,,,,SN000128,bodi i hot
XV000020,Daakaka,vyanten ente mwi biyo,vyanten	en=te	mw=i	biyo,person	$dem=$dem.prox	$real=$cop	deaf,this man is deaf,,,,,SN000142,man ia sora i fas
XV000021,Daakaka,(vyanten) biyo swa sa ngetak,(vyanten)	biyo	swa	sa	nge=tak,person	deaf	one	$top	$3sg=$dem.prox,there is a deaf man,,,,,SN000142,wan man we sora i fas hem ia
XV000022,Daakaka,boloor ane em,boloor	ane	em,window	$trans	house,window (of a house),,,,,SN000149,windo (blong wan haos)
XV000023,Daakaka,boloor ane buluk,boloor	ane	buluk,gate	$trans	cattle,gate for cattle,,,,,SN000149,get blong buluk
XV000024,Daakaka,vyaa boo,vyaa	boo,hand	deformed.by.elephantiasis,an arm deformed by elephantiasis,,,,,SN000154 ; SN001976,han we i solap from sik blong bigleg
XV000025,Daakaka,vyanten ente lyen mwi boo,vyanten	en=te	ly-en	mw=i	boo,person	$dem=$dem.prox	leg.of-3s.poss	$real=$cop	deformed.by.elephantiasis,this man's leg is deformed by elephantiasis,,,,,SN000154,man ia leg blong hem i bigleg
XV000026,Daakaka,booli vyor,booli	vyor,hole.in	stone,"hole inside a rock or stone, cave",,,,,SN000155,"hol blong ston, kev"
XV000027,Daakaka,booli lemap,booli	lemap,hole.in	chestnut.tree,hole in a Tahitian chestnut tree,,,,,SN000155,hol long wan namambe
XV000028,Daakaka,or mo bor,or	mo	bor,place	$real	quiet,it's quiet,,,,,SN000158,ples i kwaet
XV000029,Daakaka,borapyang wotop,borapyang	wotop,fire.pit.of	breadfruit,a fire for roasting breadfruit,,,,,SN000160,faea blong rusum plante bredfrut
XV000030,Daakaka,bosi ne ngok,bosi	ne	ngok,bone	$trans	$2sg,your bone,,,,,SN000165,bun blong yu
XV000031,Daakaka,bosi barar,bosi	barar,bone	pig,pig bone,,,,,SN000167,bun blong pig
XV000032,Daakaka,brongis mu kuo,brongis	mu	kuo,hurricane	$real	run,there was a hurricane,,,,,SN000180,ariken i ron
XV000033,Daakaka,buon mwe sek,bu-on	mwe	sek,smell.of-$3sg.poss	$real	stink,it stinks (lit. `it's smell stinks'),,,,,SN000181 ; SN001160,hem i sting
XV000034,Daakaka,bu em,bu	em,back.of	house,either of the narrow sides of a house,,,,,SN000182,baksaed blong house
XV000035,Daakaka,barar mu bun,barar	mu	bun,pig	$real	grunt,a pig is grunting,,,,,SN000188,pig i mekem saon
XV000036,Daakaka,bun beleem,bun	beleem,next.to	door,at the door,,,,,SN000191,long fronted blong doa
XV000037,Daakaka,bungun Sesivi,bungun	Sesivi,cape	Sesivi,cape Sesivi,,,,,SN000197,poen Sesivi
XV000038,Daakaka,bung ti miyaa,bung	ti	miyaa,moon	$dist	shine,when the moon shines,,,,,SN000199 ; SN001734,taem mun i laet
XV000039,Daakaka,yuon mwe bungbung,yu-on	mwe	bungbung,feeling-$3sg.poss	$real	be.unconscious,she/he cannot talk (because of a curse),,,,,SN000201 ; SN001160,hem i no save toktok (from poison)
XV000040,Daakaka,mees buwuo nyoo,mees	bu-wuo	nyoo,food	$redup-stink	3p,stinking food,,,,,SN000209,ol kakae we i sting
XV000041,Daakaka,ekukuo mu bup,ekukuo	mu	bup,truck	$real	tumble,the truck tumbled over,,,,,SN000218,trak i kavsaed
XV000042,Daakaka,vyanten ane sóró bupan sa ngetak,vyanten	ane	sóró	bup=an	sa	nge=tak,person	$trans	talk	tumble=$nom	$top	$3sg=$dem.prox,this is a man who often mispronounces words or mixes them up,,,,,SN001580,wan man we i mestem toktok hem ia
XV000043,Daakaka,vyanten ente mwi bur,vyanten	en=te	mw=i	bur,person	$dem=$dem.med	$real=$cop	dumb,this man is dumb,,,,,SN000220,man ia i nambut
XV000044,Daakaka,vyanten bur swa sa ngetak,vyanten	bur	swa	sa	nge=tak,person	dumb	one	$top	$3sg=$dem.prox,this is a dumb man,,,,,SN000220,wan nambut man hem ia
