ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Daakaka-1_all-1,,Daakaka,1_all,kevene,kevene,,,vonPrince2017,,,,,every; entirely,SN000602,
Daakaka-1_all-2,,Daakaka,1_all,seaa,seaa,,,vonPrince2017,,,,,every; entire; disappear; get lost; die,SN001387,
Daakaka-2_ash-1,,Daakaka,2_ash,bel,bel,,,vonPrince2017,,,,,ash; the fireplace inside a kitchen hut,SN000105,
Daakaka-4_belly-1,,Daakaka,4_belly,tam,tam,,,vonPrince2017,,,,,belly,SN001621,
Daakaka-5_big-1,,Daakaka,5_big,lyep,lyep,,,vonPrince2017,,,,,great,SN000835,
Daakaka-5_big-2,,Daakaka,5_big,towo,towo,,,vonPrince2017,,,,,big,SN001795,
Daakaka-5_big-3,,Daakaka,5_big,wowo,wowo,,,vonPrince2017,,,,,big (of a multitude of objects / persons),SN002086,
Daakaka-6_bird-1,,Daakaka,6_bird,baséé,baséé,,,vonPrince2017,,,,,"bird, flying animal",SN000095,
Daakaka-7_bite-1,,Daakaka,7_bite,ate,ate,,,vonPrince2017,,,,,bite,SN000056,
Daakaka-7_bite-2,,Daakaka,7_bite,kyer,kyer,,,vonPrince2017,,,,,bite; sting; clot,SN000704,
Daakaka-8_black-1,,Daakaka,8_black,mir,mir,,,vonPrince2017,,,,,black,SN000961,
Daakaka-8_black-2,,Daakaka,8_black,tung myaek,tung myaek,,,vonPrince2017,,,,,dark; black,SN001824,
Daakaka-9_blood-1,,Daakaka,9_blood,bura,bura,,,vonPrince2017,,,,,clotted blood,SN000221,
Daakaka-10_bone-1,,Daakaka,10_bone,bosi,bosi,,,vonPrince2017,,,,,bone ; bone; tool for scooping a coconut out of its shell; copra chisel ; copra.chisel; bone of,SN000165,
Daakaka-11_breast-1,,Daakaka,11_breast,sis,sis,,,vonPrince2017,,,,,(of the tide) rise; goatfish; teat; nipple; breast,SN001476,
Daakaka-12_burn-1,,Daakaka,12_burn,en,en,,,vonPrince2017,,,,,"eat ; eat; burn; this, [demonstrative]",SN000421,
Daakaka-12_burn-2,,Daakaka,12_burn,pyane,pyane,,,vonPrince2017,,,,,roast (one thing) ; roast; burn,SN001317,
Daakaka-13_claw-1,,Daakaka,13_claw,golin vyaa,golin vyaa,,,vonPrince2017,,,,,claw; talon,SN000522,
Daakaka-14_cloud-1,,Daakaka,14_cloud,mop,mop,,,vonPrince2017,,,,,cloud; be cloudy; be dull,SN000987,
Daakaka-15_cold-1,,Daakaka,15_cold,meas,meas,,,vonPrince2017,,,,,cold,SN000878,
Daakaka-15_cold-2,,Daakaka,15_cold,medir,medir,,,vonPrince2017,,,,,cold,SN000888,
Daakaka-16_come-1,,Daakaka,16_come,me,me,,,vonPrince2017,,,,,come,SN000875,
Daakaka-16_come-2,,Daakaka,16_come,venek,venek,,,vonPrince2017,,,,,come; go,SN001926,
Daakaka-17_die-1,,Daakaka,17_die,bip mermer,bip mermer,,,vonPrince2017,,,,,"laziness, tiredness; die",SN000130,
Daakaka-17_die-2,,Daakaka,17_die,seaa,seaa,,,vonPrince2017,,,,,every; entire; disappear; get lost; die,SN001388,
Daakaka-18_dog-1,,Daakaka,18_dog,kuli,kuli,,,vonPrince2017,,,,,dog; edible part (of a plant),SN000670,
Daakaka-19_drink-1,,Daakaka,19_drink,min,min,,,vonPrince2017,,,,,drink; the brother to a woman,SN000952,
Daakaka-19_drink-2,,Daakaka,19_drink,mini,mini,,,vonPrince2017,,,,,drink,SN000954,
Daakaka-20_dry-1,,Daakaka,20_dry,gaó,gaó,,,vonPrince2017,,,,,dry,SN000488,
Daakaka-20_dry-2,,Daakaka,20_dry,myas,myas,,,vonPrince2017,,,,,dry,SN001045,
Daakaka-21_ear-1,,Daakaka,21_ear,gelinya,gelinya,,,vonPrince2017,,,,,ear,SN000498,
