ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1	98	ALL	kevene	every; entirely	every; entirely	SN000602
2	98	ALL	seaa	every; entire; disappear; get lost; die	every; entire	SN001387
3	646	ASH	bel	ash; the fireplace inside a kitchen hut	ash	SN000105
4	1204	BARK				
5	1251	BELLY				
6	1202	BIG	lyep	great	great	SN000835
7	1202	BIG	towo	big	big	SN001795
8	1202	BIG	wowo	big (of a multitude of objects / persons)	big (of a multitude of objects / persons)	SN002086
9	937	BIRD	baséé	bird, flying animal	bird, flying animal	SN000095
10	1403	BITE	ate	bite	bite	SN000056
11	1403	BITE	kyer	bite; sting; clot	bite; sting	SN000704
12	163	BLACK	mir	black	black	SN000961
13	163	BLACK	tung myaek	dark; black	dark; black	SN001824
14	946	BLOOD				
15	1394	BONE	bosi	bone ; bone; tool for scooping a coconut out of its shell; copra chisel ; copra.chisel; bone of	bone ; bone	SN000165
16	1402	BREAST	sis	(of the tide) rise; goatfish; teat; nipple; breast	teat; nipple; breast	SN001476
17	2102	BURN	en	eat ; eat; burn; this, [demonstrative]	burn	SN000421
18	2102	BURN	pyane	roast (one thing) ; roast; burn	burn	SN001317
19	72	CLAW	golin vyaa	claw; talon	claw; talon	SN000522
20	1489	CLOUD	mop	cloud; be cloudy; be dull	cloud	SN000987
21	1287	COLD	meas	cold	cold	SN000878
22	1287	COLD	medir	cold	cold	SN000888
23	1446	COME	me	come	come	SN000875
24	1446	COME	venek	come; go	come; go	SN001926
25	1494	DIE	bip mermer	laziness, tiredness; die	die	SN000130
26	1494	DIE	seaa	every; entire; disappear; get lost; die	disappear; get lost; die	SN001388
27	2009	DOG	kuli	dog; edible part (of a plant)	dog	SN000670
28	1401	DRINK	min	drink; the brother to a woman	drink	SN000952
29	1401	DRINK	mini	drink	drink	SN000954
30	1398	DRY	gaó	dry	dry	SN000488
31	1398	DRY	myas	dry	dry	SN001045
32	1247	EAR	gelinya	ear	ear	SN000498
33	1228	EARTH (SOIL)				
34	1336	EAT	ane	eat; with (an instrument)	eat	SN000033
35	1336	EAT	en	eat ; eat; burn; this, [demonstrative]	eat ; eat	SN000420
36	744	EGG	dal	egg	egg	SN000314
37	1248	EYE	met	eye	eye	SN000930
38	1248	EYE	myar	watch; (of food) be underdone or unripe; eye; aimlessly; selfish; greedy; random	eye	SN001037
39	323	FAT (ORGANIC SUBSTANCE)	tamyes	fat; gluttonous; fatso; sunfish; spider	fat; gluttonous	SN001625
40	1201	FEATHER				
41	221	FIRE	apyang	fire	fire	SN000048
42	221	FIRE	punapyang	at the fire; close to the fire	at the fire; close to the fire	SN001272
43	227	FISH	mesyu	fish; sea creature (including crustacea)	fish; sea creature (including crustacea)	SN000927
44	227	FISH	padó	fish; go fishing	fish; go fishing	SN001184
45	227	FISH	yuk	pudding made of starchy vegetables or fruit such as taro, banana or pumpkin and enriched with coconut milk, fish, meat or island cabbage; [demonstrative, distal]	pudding made of starchy vegetables or fruit such as taro, banana or pumpkin and enriched with coconut milk, fish, meat or island cabbage	SN002195
46	2615	FLESH OR MEAT				
47	1441	FLY (MOVE THROUGH AIR)	ka	[second person dual]; say; [assertion marker]; fly; [complementizer]	fly	SN000565
48	1441	FLY (MOVE THROUGH AIR)	yang	fly	fly	SN002136
49	1301	FOOT				
50	1429	FULL				
51	1447	GIVE	sem	same; give	give	SN001411
52	1447	GIVE	senga	give	give	SN001415
53	1035	GOOD	-kukuone	good [resultative suffix]	good [resultative suffix]	SN000667
54	1035	GOOD	-titye	good [resultative suffix]	good [resultative suffix]	SN001758
